,Query,Precision,Recall,F-measure,Method
0,0.0,0.2413793103448276,0.2413793103448276,0.2413793103448276,TF-IDF/Cosine
1,0.0,0.0,0.0,0.0,TF-IDF/Cosine
2,0.0,0.2413793103448276,0.2413793103448276,0.2413793103448276,TF-IDF/Cosine
3,0.0,0.0,0.0,0.0,TF-IDF/Cosine
4,1.0,0.12,0.12,0.12,TF-IDF/Cosine
5,1.0,0.0,0.0,0.0,TF-IDF/Cosine
6,1.0,0.2,0.2,0.20000000000000004,TF-IDF/Cosine
7,1.0,0.0,0.0,0.0,TF-IDF/Cosine
8,2.0,0.4444444444444444,0.4444444444444444,0.4444444444444444,TF-IDF/Cosine
9,2.0,0.0,0.0,0.0,TF-IDF/Cosine
10,2.0,0.7777777777777778,0.7777777777777778,0.7777777777777778,TF-IDF/Cosine
11,2.0,0.0,0.0,0.0,TF-IDF/Cosine
12,3.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,TF-IDF/Cosine
13,3.0,0.0,0.0,0.0,TF-IDF/Cosine
14,3.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,TF-IDF/Cosine
15,3.0,0.0,0.0,0.0,TF-IDF/Cosine
16,4.0,0.0,0.0,0.0,TF-IDF/Cosine
17,4.0,0.0,0.0,0.0,TF-IDF/Cosine
18,4.0,0.0,0.0,0.0,TF-IDF/Cosine
19,4.0,0.0,0.0,0.0,TF-IDF/Cosine
20,5.0,0.0,0.0,0.0,TF-IDF/Cosine
21,5.0,0.0,0.0,0.0,TF-IDF/Cosine
22,5.0,0.0,0.0,0.0,TF-IDF/Cosine
23,5.0,0.0,0.0,0.0,TF-IDF/Cosine
24,6.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,TF-IDF/Cosine
25,6.0,0.0,0.0,0.0,TF-IDF/Cosine
26,6.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,TF-IDF/Cosine
27,6.0,0.0,0.0,0.0,TF-IDF/Cosine
28,7.0,0.25,0.25,0.25,TF-IDF/Cosine
29,7.0,0.0,0.0,0.0,TF-IDF/Cosine
30,7.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,TF-IDF/Cosine
31,7.0,0.0,0.0,0.0,TF-IDF/Cosine
32,8.0,0.5,0.5,0.5,TF-IDF/Cosine
33,8.0,0.0,0.0,0.0,TF-IDF/Cosine
34,8.0,0.75,0.75,0.75,TF-IDF/Cosine
35,8.0,0.0,0.0,0.0,TF-IDF/Cosine
36,9.0,0.2222222222222222,0.2222222222222222,0.2222222222222222,TF-IDF/Cosine
37,9.0,0.0,0.0,0.0,TF-IDF/Cosine
38,9.0,0.2222222222222222,0.2222222222222222,0.2222222222222222,TF-IDF/Cosine
39,9.0,0.0,0.0,0.0,TF-IDF/Cosine
40,10.0,0.25,0.25,0.25,TF-IDF/Cosine
41,10.0,0.0,0.0,0.0,TF-IDF/Cosine
42,10.0,0.125,0.125,0.125,TF-IDF/Cosine
43,10.0,0.0,0.0,0.0,TF-IDF/Cosine
44,11.0,0.0,0.0,0.0,TF-IDF/Cosine
45,11.0,0.0,0.0,0.0,TF-IDF/Cosine
46,11.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,TF-IDF/Cosine
47,11.0,0.0,0.0,0.0,TF-IDF/Cosine
48,12.0,0.0,0.0,0.0,TF-IDF/Cosine
49,12.0,0.0,0.0,0.0,TF-IDF/Cosine
50,12.0,0.2,0.2,0.20000000000000004,TF-IDF/Cosine
51,12.0,0.0,0.0,0.0,TF-IDF/Cosine
52,13.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,TF-IDF/Cosine
53,13.0,0.0,0.0,0.0,TF-IDF/Cosine
54,13.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,TF-IDF/Cosine
55,13.0,0.0,0.0,0.0,TF-IDF/Cosine
56,14.0,0.0,0.0,0.0,TF-IDF/Cosine
57,14.0,0.0,0.0,0.0,TF-IDF/Cosine
58,14.0,0.0,0.0,0.0,TF-IDF/Cosine
59,14.0,0.0,0.0,0.0,TF-IDF/Cosine
60,15.0,0.5,0.5,0.5,TF-IDF/Cosine
61,15.0,0.0,0.0,0.0,TF-IDF/Cosine
62,15.0,0.5,0.5,0.5,TF-IDF/Cosine
63,15.0,0.0,0.0,0.0,TF-IDF/Cosine
64,16.0,0.0,0.0,0.0,TF-IDF/Cosine
65,16.0,0.0,0.0,0.0,TF-IDF/Cosine
66,16.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,TF-IDF/Cosine
67,16.0,0.0,0.0,0.0,TF-IDF/Cosine
68,17.0,0.0,0.0,0.0,TF-IDF/Cosine
69,17.0,0.0,0.0,0.0,TF-IDF/Cosine
70,17.0,0.25,0.25,0.25,TF-IDF/Cosine
71,17.0,0.0,0.0,0.0,TF-IDF/Cosine
72,18.0,0.0,0.0,0.0,TF-IDF/Cosine
73,18.0,0.0,0.0,0.0,TF-IDF/Cosine
74,18.0,0.0,0.0,0.0,TF-IDF/Cosine
75,18.0,0.0,0.0,0.0,TF-IDF/Cosine
76,19.0,0.3,0.3,0.3,TF-IDF/Cosine
77,19.0,0.0,0.0,0.0,TF-IDF/Cosine
78,19.0,0.5,0.5,0.5,TF-IDF/Cosine
79,19.0,0.0,0.0,0.0,TF-IDF/Cosine
